work_date,process,line,model,qty,cause_code,cause_name,result_group,result_code,result_desc,reason_code,reason_desc,is_auto,comment
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-03,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-06,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-07,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-07,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-07,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-07,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-10,MI,MI 7,L48CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-13,MI,MI 7,L48CA9N_HVD,1,BROKEN_BI,Burn-in파손,Scrap_Defect,B204,ICT_PM#01,D102,Broken,N,MI :: SCRAP Do keo đỏ SMD xịt nhiều repair châm chì nhiều lần chốc Pad đồng
2026-06-12,MI,MI 5,L50E60A_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-13,MI,MI 5,L50E60A_HVD,1,CRACK,크랙/균열,Scrap_Defect,B203,AOI_PM#01,D102,Broken,N,MI :: SCRAP Ngoại Quan Phát hiện 1ea bị nứt Mạch Tại vị trí CNT đen dẫn đến Không rõ nguyên nhân
2026-06-11,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-11,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-12,MI,MI 7,L55CA9N_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B207,BI_PM#01,D102,Broken,N,ME :: SCRAP do công nhân tại công đoạn Burin khi thao tác lấy board ra khỏi tủ vướng bao tay dẫn đến rớt bể
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-17,MI,MI 7,L55CA9N_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-05,SMT,PS05,L55E70A_HVD,1,ETC,기타,Scrap_Defect,B202,SMT_PS#01,D102,Broken,N,SMD :: SCRAP
2026-06-10,SMT,PS02,L55E70A_HVD,1,SENSOR,센서불량,Scrap_Defect,B202,SMT_PS#01,D102,Broken,N,SCRAP chinh lai sensor
2026-06-10,SMT,PS02,L55E70A_HVD,1,SENSOR,센서불량,Scrap_Defect,B202,SMT_PS#01,D102,Broken,N,SCRAP CHINH LAI SENSOR
2026-06-01,MI,MI 5,L55E70A_HVD,1,AUTO,자동판정(ATE),nan,D999,ETC,D999,nan,Y,ATUO_SCRAP
2026-06-02,MI,MI 5,L55E70A_HVD,1,BROKEN_DROP,낙하/파손,Scrap_Defect,B207,BI_PM#01,D109,ETC ( Add Comment ),N,MI :: SCRAP OP thời vụ mới làm tại công đoạn burn in khi thao tác lấy board từ băng tải bỏ vào tủ vướng bao tay rơi bể
2026-06-02,MI,MI 5,L55E70A_HVD,1,SOLDER,납불량,Final Visual Inspection,B506,ETC ( Add Comment ),D109,ETC ( Add Comment ),N,MI :: SCRAP trong quá trình thả hàng tồn phát hiện 1 board bị tróc bad  ở vị trí linh kiện PCM805S không rõ nguyên nhân
